,CONF,DEC,MASK_NUM,OII,OII_err,RA,bit_code,gmag,redz,rmag,zmag,mask_name
64,3,0.999616055701,0,8.48492255863,0.185706700968,11.9071875931,96,23.8226278634,1.0915,23.6644946627,22.7556838146,st82-1hr
65,3,0.766455584788,0,12.9557419542,0.216075926004,11.7003840478,128,23.6071818872,1.3402,23.5838439441,23.0131984948,st82-1hr
66,3,0.743643367403,0,14.0305835322,0.473636427072,11.7064761866,240,23.0665162014,0.935,23.0213869002,22.3414584895,st82-1hr
67,-999,0.776726947855,0,0.0,-1.0,11.7026429274,240,23.5715057441,-999.0,23.3203033011,22.6600343835,st82-1hr
68,3,0.845240457148,0,11.8214823074,0.193235149967,11.6957889992,32,23.8118259173,1.20395,23.5514607892,22.8344174089,st82-1hr
69,3,0.742419621234,0,16.1965542866,0.223524729769,11.7166056648,1776,23.391783452,0.92215,22.9099630913,22.0612544044,st82-1hr
70,-999,0.85374285924,0,0.0,-1.0,11.7017812385,4,20.9256757184,-999.0,19.057805339,18.0845632525,st82-1hr
71,3,0.747354183507,0,8.66179217587,0.245821710991,11.7242822266,64,23.7584630128,0.8973,23.4666541439,22.1893417507,st82-1hr
72,3,0.834033642087,0,9.10714649514,0.221215348603,11.7112543784,240,23.7334169835,1.0647,23.4456018334,22.6724173843,st82-1hr
73,-999,0.739584966623,0,0.0,-1.0,11.7322212116,160,23.8165339066,-999.0,23.6402830991,22.9488213893,st82-1hr
74,-999,0.820958309335,0,0.0,-1.0,11.7225449969,1792,22.9476807395,-999.0,22.0405218773,20.6441815508,st82-1hr
75,-999,0.84186258462,0,0.0,-1.0,11.7220433226,2032,23.3944888181,-999.0,22.9121844188,21.7436816301,st82-1hr
76,-999,0.856232645816,0,0.0,-1.0,11.7227480457,1792,23.0990933894,-999.0,22.2188301966,20.7319100538,st82-1hr
77,3,0.82380816979,0,8.98790555925,0.178516907635,11.7331163937,2032,23.4275590765,0.93355,22.9383562329,21.9289965587,st82-1hr
78,3,0.840178331557,0,17.305090408,0.587793965774,11.7327237794,32,23.7717428369,0.7594,23.3420801538,22.6989460629,st82-1hr
79,3,0.859490323441,0,30.7377922875,0.251549972775,11.7319712652,1776,23.0167480014,1.1354,22.5782760676,21.8290162933,st82-1hr
80,3,0.783239547521,0,9.91691527462,0.474206502566,11.7501448051,1792,23.132167836,0.93425,22.2709912745,20.8304257549,st82-1hr
81,3,0.736411214323,0,5.96205921856,0.450667219005,11.7624953642,80,23.7207181427,0.935,23.5180853032,22.296609971,st82-1hr
82,-999,0.747747865808,0,0.0,-1.0,11.7635287901,1808,22.7303199573,-999.0,22.1218396129,20.7699110897,st82-1hr
83,3,0.817504067227,0,0.0,-1.0,11.7539490865,2032,23.068632889,0.1245,22.6403995902,21.8307298306,st82-1hr
84,3,0.808687054694,0,11.09388018,0.508406971779,11.757694712,2032,23.2937929659,1.13475,22.8202821204,22.0480834546,st82-1hr
85,3,0.813612561506,0,12.8691042259,0.314769827491,11.7643200489,2032,22.9671183494,1.12625,22.2835254361,21.116894736,st82-1hr
86,1,0.837046017618,0,53.9404552916,0.844580449376,11.7679905971,192,23.5324982797,0.10155,23.6830724276,22.9407386419,st82-1hr
87,3,0.771237510165,0,12.1817278385,0.562336333372,11.7819037684,32,23.8387245522,0.6851,23.3891609866,22.680856708,st82-1hr
88,-999,0.748794122482,0,0.0,-1.0,11.7888436102,2032,23.4214980047,-999.0,23.089595591,21.9758583438,st82-1hr
89,-999,0.790534584147,0,0.0,-1.0,11.7834942299,1776,23.2491199267,-999.0,23.251549354,22.6187765992,st82-1hr
90,3,0.782975322651,0,10.0640690063,0.226111088637,11.7878805654,128,23.8110402387,1.337,23.8001174877,22.8670827747,st82-1hr
91,3,0.767860003343,0,20.5742978235,0.532036968288,11.7941121315,1776,22.8750567997,0.87645,22.5916483044,21.9990321913,st82-1hr
92,-999,0.860387315137,0,0.0,-1.0,11.7810439758,2032,23.1529272545,-999.0,22.9688359967,22.4482393116,st82-1hr
93,3,0.84745461071,0,6.81955737421,0.537077298183,11.7859756394,1008,23.5657564562,1.0672,23.1520160615,21.9800003291,st82-1hr
94,3,0.827204539351,0,6.00928647568,0.61468831228,11.7914744288,2032,23.3841819518,1.12945,22.8463386399,21.8127906109,st82-1hr
95,-999,0.79037977667,0,0.0,-1.0,11.8019693572,32,23.884246202,-999.0,23.6471858613,22.7544411372,st82-1hr
96,-999,0.820342733926,0,0.0,-1.0,11.7986970132,1792,23.2780777952,-999.0,23.5679297148,22.6499489015,st82-1hr
97,-999,0.841135218972,0,0.0,-1.0,11.8033689004,2,19.9449841272,-999.0,19.6188536863,19.5033237166,st82-1hr
98,-999,0.841559284879,0,0.0,-1.0,11.8082014394,1872,22.2212525804,-999.0,21.6747713014,20.4777254322,st82-1hr
99,3,0.806831634923,0,9.04272875456,0.466739411258,11.8164464061,1008,23.5747060703,1.17695,23.3059626079,22.4779874487,st82-1hr
100,3,0.844145619778,0,8.83523699078,0.556876582218,11.8120254035,1008,23.6560945406,0.71185,23.104546786,22.0408560928,st82-1hr
101,3,0.816288857595,0,11.0050017976,0.216856810547,11.8192625854,1008,23.6264053908,0.9028,23.1190176592,21.9797748225,st82-1hr
