,CONF,DEC,MASK_NUM,OII,OII_err,RA,bit_code,gmag,redz,rmag,zmag,mask_name
191,3,0.091957784315,1,19.7094161512,0.663287479244,39.4066794998,1776,23.4285328784,0.7211,22.9563972829,22.1919467678,st82-3hr
192,-999,0.121715648367,1,0.0,-1.0,39.457049119,1792,23.4433462913,-999.0,22.9592341825,21.4211321021,st82-3hr
193,3,0.11555707072,1,11.3290856607,0.232076130683,39.4537850448,240,23.6109638771,0.81495,23.1916219453,22.3584999722,st82-3hr
194,3,0.0879023536518,1,32.3270039009,0.330065681482,39.4185099943,240,22.4700770227,0.89275,21.9766619627,21.1956778224,st82-3hr
195,3,0.0544785299605,1,10.4719896468,0.533706880913,39.3712593181,768,23.6037083552,0.8906,22.8998737856,21.8038540121,st82-3hr
196,3,0.056120445577,1,16.7203854505,0.256003281962,39.3800495025,1008,23.5504987028,0.91395,23.2239182859,22.1979018075,st82-3hr
197,3,0.101718451109,1,10.6016419817,0.537295837356,39.4569789078,112,23.6855748444,0.77025,23.2448041984,22.371570165,st82-3hr
198,-999,0.0450504819281,1,0.0,-1.0,39.3761876464,880,23.5712799712,-999.0,22.9801102309,22.1040285642,st82-3hr
199,-999,0.0540334888198,1,0.0,-1.0,39.3977465654,1792,22.1874016407,-999.0,22.3509541776,20.7168673132,st82-3hr
200,-999,0.102926207183,1,0.0,-1.0,39.4761542045,2032,23.2547205306,-999.0,22.8442454101,21.6889135445,st82-3hr
201,3,0.0621097960201,1,12.6518470537,0.273857212144,39.4171966994,880,23.5988750795,0.8961,22.9874663761,22.0372475693,st82-3hr
